Review Title,Customer name,Rating,REMARK,Edited date,Category,Comments,Useful
Another Midrange killer Smartphe by Xiaomi,Rishikumar Thakur,4,1,10/1/2018,Display,"Another Midrange killer Smartphe by Xiaomi

Major Highlights:
• The Redmi 6 Pro sports a 5.84-inch full-HD+ display with a notch
• Powered by the Qualcomm Snapdrag 625 SoC
• The phe is priced at Rs. 10,999 for the 3GB RAM variant (Start Point)
• Battery of 4090 mAh and its Durability
• The Tripple Slots
• Dual AI Camera

Well in Redmi 6 Series you will get 3 Different Smartphes with different specs, and from all of them, Redmi 6 pro is most powerful and advanced (as said by Redmi India in their launch event).

Xiaomi Redmi 6 Pro design:
Being the most premium phe of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isn’t too different from what we’ve already seen from Xiaomi at around this price point. This is a fairly thick phe, and it's a bit hefty too, but it’s manageable. The butts have good feedback without being noisy, and  the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that ly e SIM can cnect to a 4G network at a time, The placement of ports is good. The mo speaker is  the bottom right, so chances of blocking it when using the phe in landscape mode are slim. The headphe socket is placed  the top, and you also get an infrared (IR) emitter which can be used to ctrol IR appliances through the Mi Remote app.

Xiaomi Redmi 6 Pro specificatis and software:
The phe uses Qualcomm’s Snapdrag 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isn’t great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isn’t smooth. Our unit was running  a pre-release versi of its MIUI software, which prevented us from running most benchmarks.

Storage Optis:
Well I am impressed with the Xiaomi as they provided triple Slot in sim tray (2 for nano sim & e for SD card)

Heating Issues:
Well, I do not find any heating issues in this phe while playing games like PubG and Asphalt.

Camera in Redmi 6 pro:
The rear 12-megapixel camera has a f/2.2 aperture with PDAF. Autofocus was decently quick in good light. There’s auto-HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn't able to resolve finer detail. The white balance was a bit of a hit or a miss in close-ups, and we often found ourselves having to tap-to-focus to get the white balance back  track. Saving HDR images takes a good couple of secds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap  Torch ic to switch,  the torch, you will get the flash in Portrait Mode.

Battery in Redmi 6 Pro:
Battery life is e of the strg suits of the Redmi 6 Pro. The 4090mAh battery easily lasted us a full day and a bit more  e charge. Playing heavy games didn't drain the battery too much either. In a single round of PUBG (around 30 minutes), in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesn’t support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero
Well before buying this phe I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phe which I am using since 2 Years. And actually, I found inbuilt ads in those phes. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full-screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know ctact me.

Final Verdict:
Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phe blindly.
Suggesti for Xiaomi India: You should stop those inbuilt Ads present in your devices because we customers d’t find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it.

Note: Pics Included in this Review are captured by Redmi Note 3", 
Another Midrange killer Smartphe by Xiaomi,Rishikumar Thakur,4,1,10/1/18,Display,"Another Midrange killer Smartphe by Xiaomi

Major Highlights:
• The Redmi 6 Pro sports a 5.84-inch full-HD+ display with a notch
• Powered by the Qualcomm Snapdrag 625 SoC
• The phe is priced at Rs. 10,999 for the 3GB RAM variant (Start Point)
• Battery of 4090 mAh and its Durability
• The Tripple Slots
• Dual AI Camera

Well in Redmi 6 Series you will get 3 Different Smartphes with different specs, and from all of them, Redmi 6 pro is most powerful and advanced (as said by Redmi India in their launch event).

Xiaomi Redmi 6 Pro design:
Being the most premium phe of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isn’t too different from what we’ve already seen from Xiaomi at around this price point. This is a fairly thick phe, and it's a bit hefty too, but it’s manageable. The butts have good feedback without being noisy, and  the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that ly e SIM can cnect to a 4G network at a time, The placement of ports is good. The mo speaker is  the bottom right, so chances of blocking it when using the phe in landscape mode are slim. The headphe socket is placed  the top, and you also get an infrared (IR) emitter which can be used to ctrol IR appliances through the Mi Remote app.

Xiaomi Redmi 6 Pro specificatis and software:
The phe uses Qualcomm’s Snapdrag 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isn’t great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isn’t smooth. Our unit was running  a pre-release versi of its MIUI software, which prevented us from running most benchmarks.

Storage Optis:
Well I am impressed with the Xiaomi as they provided triple Slot in sim tray (2 for nano sim & e for SD card)

Heating Issues:
Well, I do not find any heating issues in this phe while playing games like PubG and Asphalt.

Camera in Redmi 6 pro:
The rear 12-megapixel camera has a f/2.2 aperture with PDAF. Autofocus was decently quick in good light. There’s auto-HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn't able to resolve finer detail. The white balance was a bit of a hit or a miss in close-ups, and we often found ourselves having to tap-to-focus to get the white balance back  track. Saving HDR images takes a good couple of secds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap  Torch ic to switch,  the torch, you will get the flash in Portrait Mode.

Battery in Redmi 6 Pro:
Battery life is e of the strg suits of the Redmi 6 Pro. The 4090mAh battery easily lasted us a full day and a bit more  e charge. Playing heavy games didn't drain the battery too much either. In a single round of PUBG (around 30 minutes), in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesn’t support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero
Well before buying this phe I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phe which I am using since 2 Years. And actually, I found inbuilt ads in those phes. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full-screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know ctact me.

Final Verdict:
Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phe blindly.
Suggesti for Xiaomi India: You should stop those inbuilt Ads present in your devices because we customers d’t find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it.

Note: Pics Included in this Review are captured by Redmi Note 3", 
Good phe in budget,Amaz Customer,4,1,10/1/18,Battery,"Good phe in budget. Good camera,battery and performance for normal use. Call sound is very good.", 
Good phe in budget,Amaz Customer,4,1,10/1/18,Battery,"Good phe in budget. Good camera,battery and performance for normal use. Call sound is very good.", 
Upto You,CHANDRESH KHUNTIA,3,1,10/1/18,Others,"A Bit Pricey compared to the competitors.
Nice and Sleek body feels Good  Hand.
Overall Performance Is good Enough less heat compered to mi redmi devices.",e pers found this helpful
Good budget phe,Vinamra,4,1,10/1/18,Battery,Works pretty good for a budget phe. Battery life is amazing but camera is a let down. Finger print is very fast., 
Quality.,Pankaj kumar,4,1,10/1/18,Others,Mobile is good also service of Amaz is better than other like paytm., 
Waste of mey compare another phe,Praveen gurjar,1,0,10/1/18,Battery,Sometimes automatically speaker  and little hanging problem camera battery good.,
Best smartphe,Pradeep kumar,5,1,10/1/18,Others,I use this phe and I like all quality,
Gud,Imtiyaz,5,1,10/1/18,Others,Nice phn,
??,sagar kute,4,1,10/1/18,Others,??,
battery,Yaden Wap,5,1,10/1/18,Others,daaaaaaaam good,
Very good product,vikram sharma ,5,1,10/1/18,Others,Really like it,
Excellent,Hosain sekh,5,1,10/1/18,Others,Good,
It Hangs,Ranjeet,1,0,10/1/18,Others,"After using it for 10 days, I am writing it, this phe as well MI A2 Hangs, please do not purchase.",
vry small size mobile,Raza ji,3,1,9/15/18,Others,All ok but vry small size mobile,7 people found this helpful
Good,Amaz Customer,5,1,9/15/18,Others,Wooo,5 people found this helpful
vry small size mobile,Raza ji,3,1,9/15/18,Others,All ok but vry small size mobile,7 people found this helpful
Good,Amaz Customer,5,1,9/15/18,Others,Wooo,5 people found this helpful
Awesome product,Debashis Das,5,1,9/15/18,Others,awesome product at this range,4 people found this helpful
Worst frt camera  a Mi device till date.,Ram Rajkishore,1,0,9/15/18,Camera,It has a worst frt camera I have ever seen  a Mi device.Its just disgusting to see such a poor frt camera  a Rs.11090 device.Very much disappointed.,
Look some other optis guys.... It's just a crap.,Shubham jaishwal,1,0,9/15/18,Display,"Guys, just d't buy Redmi 6 pro for now atleast. Got it delivered yesterday, I have both Gold and Black Variant. Black looks nice. But wait, It's just an unpolished product. The Pinch to fill the video doesn't work in Mi Video app. The left edge remains like this ""|"" and right "")"" even this happens in Youtube. Both apps leave way too much  both sides if I let it to original. Making it a 5 inch screen display. There is No Indian City name in Time Ze, it's shown as GMT+5:30. It automatically detects the time ze as China. Why?? Has to change time, manually!!!! Then, How the heck they say that this is Made in India. While setting up the phe, the Limitless theme has Ics written in chinese. The camera app is incsistent. The so called AI doesn't seem to be going well with SD625. My friend has RN5 pro. I think they both have same app. But his camera shows ic within screen top as if its going to shoot it with Flash or HDR. But, no this is just a crap..

So, a 5.84 screen display is just a waste if I cann't watch video to its limit. What's the purpose served by notch then and what am I supposed to do with that 5.84 inch screen???? No more notificati ics in the notificati bar, No more cnecti speed and battery percentage too, until you drop that notificati panel. Stupid MI !!!!",
Good Phe but price HIGHER,MALLA TULASI SANKAR GANESH,4,1,10/15/18,Display,"Pros
Good Display, Better Battey Performance, Proper Phe size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cs
Outdated Snapdrag 625 processor, Rear Camera above average, Frt camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10909",
D't buy this mobile mi 6 pro,Vasudevan,1,0,9/15/18,Display,"Very poor quality in frt facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return opti not available this phe, return my phe please Amaz",
Good Phe but price HIGHER,MALLA TULASI SANKAR GANESH,4,1,10/15/18,Display,"Pros
Good Display, Better Battey Performance, Proper Phe size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cs
Outdated Snapdrag 625 processor, Rear Camera above average, Frt camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10909", 
D't buy this mobile mi 6 pro,Vasudevan,1,0,9/15/18,Display,"Very poor quality in frt facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return opti not available this phe, return my phe please Amaz", 
Always Mi Best in Mobile ??,Manish Bavaliya ,5,1,10/15/18,Battery,"Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing.",
Rock u,KALINDI DEVI,5,1,9/15/18,Others,"Really nice e
Thankd",
Satisfied,Kamlesh Bajpai,4,1,9/15/18,Display,Very good phe at this price. Display quality perfect, 
Value for mey,Amaz Customer,5,1,9/15/18,Others,Best value for mey, 
Its a OK Phe,D.C.Padhi,3,1,10/15/18,Battery,"Redmi Note4, Note5, now 6pro..It seems the older the model the better was the performance as I used all 3 models in the line. The notch design, hides the battery % and network speed, e has to pull down a bit to see these 2 things. Note 5 and 6pro both have a comm issue-- after switching the swipe up (to unlock) does not work smoothly every time. The escape is to switch off the swipe up feature. After Note4, in the newer models the length of USB cable has become shorter, whichis a problem if you are little away from the plug point. How much cost does Xiaomi saves by shortening the cable? 6pro came with a smaller ejecti tool, additial cost saving by cutting 2gm of metal. The frt flash if Note5 has been removed in 6pro. These manufacturers seem to be idiots and fooling public by launching new models without any real additial feature or improvement. Anyway, its an OK phe for 10,090 (3GB/32GB). For 11,090 a customer expects a little more, and Xiaomi disappoints here.",
Fabulous!,Irukulla bharath,4,1,9/17/18,Display,"Pros:
notch display
Dual camera
Face unlock
4090 mah battery
Cs:
Some of the apps dot work in full screen mode.
No Frt flash

Great product to purchase finally and its value for mey.I got this phe for 10,509 and thanks to Xiaomi.",3 people found this helpful
Fabulous!,Irukulla bharath,4,1,9/17/18,Display,"Pros:
notch display
Dual camera
Face unlock
4090 mah battery
Cs:
Some of the apps dot work in full screen mode.
No Frt flash

Great product to purchase finally and its value for mey.I got this phe for 10,509 and thanks to Xiaomi.",3 people found this helpful
8-Oct,Braveheartboy_vinai,4,1,9/17/18,Camera,"Very nice looks , smooth operati , camera could have been better",3 people found this helpful
Good service,Manowar,4,1,9/17/18,Delivery,Nice product. Delivery guy also.,2 people found this helpful
Good service,Manowar,4,1,9/17/18,Delivery,Nice product. Delivery guy also.,2 people found this helpful
